# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 -2.128578950179821E+000 4.124696715271251E+001 2.576430967638419E+000 -7.926751341649208E+001 -6.154124088057002E+000 1.158200913286234E+002 -3.287810911755044E-001 8.051632460081647E+000 
1.720445000000000E+009 -1.405600255730624E+000 4.065857865870742E+001 -6.253662869213113E+000 1.122101142427829E+002 -5.829814239565062E+000 1.177831183703578E+002 -3.442070783154900E+000 1.132139892089999E+001 
1.720890000000000E+009 -1.455192304702645E+000 4.150834506867493E+001 -6.339128827276614E+000 1.115910219783176E+002 -5.869983030261052E+000 1.157080063920055E+002 -3.251485212827252E+000 1.034603532930109E+001 
1.721335000000000E+009 -1.300071091814232E+000 4.228639293042647E+001 -6.193476979596854E+000 1.126861559192690E+002 -5.979344381928537E+000 1.160922035305306E+002 -3.162966914390055E+000 1.054854945560175E+001 
1.721780000000000E+009 -1.387090940662177E+000 4.262854435534281E+001 -6.340710933185272E+000 1.119907308239796E+002 -5.835140685556515E+000 1.147513996949573E+002 -3.389295285812391E+000 1.045710173639212E+001 
1.722225000000000E+009 -1.401292681369605E+000 4.208653348021701E+001 -6.210251618889565E+000 1.079500087922606E+002 -5.876104674534446E+000 1.166614305661268E+002 -3.107542557579119E+000 1.009137543819601E+001 
1.722670000000000E+009 -1.514466194512370E+000 3.936025197941193E+001 -6.398545887129683E+000 1.102362732370660E+002 -5.752078676284545E+000 1.141778222965258E+002 -3.412331437512389E+000 9.242880302346777E+000 
1.723115000000000E+009 -1.264067601247291E+000 4.185099468189953E+001 -6.030363402936202E+000 1.076638176967245E+002 -5.682086280991110E+000 1.154691333591016E+002 -3.317445778217523E+000 1.026904137884115E+001 
1.723560000000000E+009 -1.128915723064256E+000 3.975709272246199E+001 -6.243888467127535E+000 1.095774548626829E+002 -5.723836752843815E+000 1.127711567159516E+002 -3.297233241926640E+000 8.314757679178376E+000 
1.724005000000000E+009 -1.315571900307739E+000 3.716849944563666E+001 -6.336563665844390E+000 1.105252846947737E+002 -5.785986072361278E+000 1.139293550656311E+002 -3.376516814607224E+000 8.468516168978601E+000 
1.724450000000000E+009 -1.389615498809457E+000 4.338572213851295E+001 -6.154504230756472E+000 1.109041417612406E+002 -5.797498766624732E+000 1.158398007402804E+002 -3.268793573438585E+000 7.619638391574112E+000 
1.724895000000000E+009 -1.152939296321673E+000 4.178157151811006E+001 -6.143166209091037E+000 1.082668800546214E+002 -5.749556084411149E+000 1.148383047201789E+002 -3.395761660495867E+000 8.504906674519125E+000 
1.725340000000000E+009 -1.466268716371301E+000 3.562749530935450E+001 -6.326064878800562E+000 1.087772879876393E+002 -5.736328748141037E+000 1.126320942669217E+002 -3.229434998312960E+000 7.967967104537837E+000 
1.725785000000000E+009 -1.405488904318135E+000 3.573104610396405E+001 -6.167089339402734E+000 1.069951603869521E+002 -5.751998805948431E+000 1.121980166449833E+002 -3.369049451025876E+000 8.337997572622721E+000 
1.726230000000000E+009 -1.352453932422302E+000 3.658897920682792E+001 -6.203189880427193E+000 1.091012853183374E+002 -5.792313704673244E+000 1.118762699154257E+002 -3.322109020796216E+000 7.501921708778787E+000 
1.726675000000000E+009 -1.205858116956916E+000 4.052209734848612E+001 -6.335333866307030E+000 1.081155895253289E+002 -5.633834701901200E+000 1.115511490072708E+002 -3.523191699228312E+000 7.768632679498492E+000 
1.727120000000000E+009 -1.562572460417911E+000 4.146111706674715E+001 -6.222606580349535E+000 1.056251788679782E+002 -5.741989397241889E+000 1.129166658754915E+002 -3.312499309042272E+000 7.149742366599230E+000 
1.727565000000000E+009 -1.292800314224586E+000 3.436493464013924E+001 -6.198273713747081E+000 1.081507692007419E+002 -5.598961198047335E+000 1.113975798582303E+002 -3.233931367026435E+000 6.426252360547586E+000 
1.728010000000000E+009 -1.545976318801709E+000 3.554566490846052E+001 -6.266704652310272E+000 1.056375406264842E+002 -5.972741323840242E+000 1.101660289026603E+002 -3.192499380884952E+000 8.328987540362476E+000 
1.728455000000000E+009 -1.487198054151757E+000 3.831660279908807E+001 -6.195860670690321E+000 1.051685633958169E+002 -5.743943818159851E+000 1.120018131503426E+002 -3.238516456527425E+000 6.933238496930003E+000 
1.728900000000000E+009 -1.275078550755607E+000 3.713769833510138E+001 -6.134873453988286E+000 1.056748276027001E+002 -5.656551919595131E+000 1.127335411236006E+002 -3.301342619954876E+000 7.590004396122754E+000 
1.729345000000000E+009 -1.338286374201078E+000 3.566931829277834E+001 -6.117006358978338E+000 1.063526751395551E+002 -5.666988735687532E+000 1.114043996106114E+002 -3.318006599399637E+000 5.895787307995500E+000 
1.729790000000000E+009 -1.428033570372437E+000 3.126791615340127E+001 -6.204475574036909E+000 1.043004278015788E+002 -5.667066819903130E+000 1.069822340796246E+002 -3.388446509326266E+000 6.995309859829487E+000 
1.730235000000000E+009 -1.405095959763443E+000 3.302265517858218E+001 -6.209205237673227E+000 1.044068207039190E+002 -5.701920587853236E+000 1.086339193952025E+002 -3.433368106983939E+000 5.957499691211685E+000 
1.730680000000000E+009 -1.369272787421531E+000 3.495042787457552E+001 -6.245689091682386E+000 1.049912333687726E+002 -5.728311668412951E+000 1.086406608513417E+002 -3.456520174035559E+000 6.728974371959382E+000 
1.731125000000000E+009 -1.390649662719869E+000 3.323043418483749E+001 -6.169514226256928E+000 1.003723002865943E+002 -5.763516096424490E+000 1.094003347850941E+002 -3.440275722968516E+000 5.337927295108152E+000 
1.731570000000000E+009 -1.225721711899432E+000 3.691227858633157E+001 -6.041557384083596E+000 1.049181902843191E+002 -5.626983704526753E+000 1.087570610552242E+002 -3.344369440377273E+000 6.086680807486967E+000 
1.732015000000000E+009 -1.539651900012645E+000 3.331944784154130E+001 -6.287803153279828E+000 1.039048446775817E+002 -5.808316073471731E+000 1.075736826254673E+002 -3.538425606223418E+000 6.231725389211146E+000 
1.732460000000000E+009 -1.477561874065806E+000 3.343378069111067E+001 -6.185329495583702E+000 1.045884443875896E+002 -5.646481066883840E+000 1.100490266677964E+002 -3.252402129838636E+000 5.474880832507994E+000 
1.732905000000000E+009 -1.500998349852970E+000 3.222573619681936E+001 -6.284292507727289E+000 1.017770510339463E+002 -5.671287179637594E+000 1.065812697101602E+002 -3.220602988569453E+000 5.505194733280105E+000 
1.733350000000000E+009 -1.568200901473819E+000 3.341012153141166E+001 -6.291640768123153E+000 1.035276285408651E+002 -5.716423872891010E+000 1.081510541904348E+002 -3.414377267448398E+000 3.972180240551186E+000 
1.733795000000000E+009 -1.381184792000619E+000 3.233401072536367E+001 -6.314075505574351E+000 1.033270329967823E+002 -5.577040750164751E+000 1.085221880458197E+002 -3.394758370855084E+000 4.552138260817581E+000 
1.734240000000000E+009 -1.535503699178382E+000 3.106653407657113E+001 -6.232188643656974E+000 1.006347270101142E+002 -5.843148211799012E+000 1.045442342370069E+002 -3.296031214792319E+000 5.118513333945591E+000 
1.734685000000000E+009 -1.359696886975555E+000 3.007546337727639E+001 -6.293141980674587E+000 1.016889880559517E+002 -5.557465386115003E+000 1.065841186811093E+002 -3.475478099386665E+000 5.015933335919315E+000 
1.735130000000000E+009 -1.404140024880249E+000 3.080170647169994E+001 -6.219865663820881E+000 1.019042205440045E+002 -5.609841497796908E+000 1.056659822612185E+002 -3.165716380397112E+000 3.945042563090969E+000 
1.735575000000000E+009 -1.452221498684574E+000 3.171024357577423E+001 -6.278646807266804E+000 1.037433914771655E+002 -5.655432077980565E+000 1.054939285195307E+002 -3.410088972807900E+000 3.261659067463642E+000 
1.736020000000000E+009 -1.433718379088597E+000 2.833133251636093E+001 -6.271921218454247E+000 1.009464956879610E+002 -5.704916934799984E+000 1.045097515363685E+002 -3.435691088206117E+000 4.243598774810542E+000 
1.736465000000000E+009 -1.383620197735215E+000 3.000752799518907E+001 -6.197796406690233E+000 1.015775194228627E+002 -5.718528272751641E+000 1.019922153717903E+002 -3.303341296913837E+000 5.832463290032339E+000 
1.736910000000000E+009 -1.136656866617931E+000 3.184769105237566E+001 -6.088976067885673E+000 9.986738359681191E+001 -5.431662620582282E+000 1.045176860057184E+002 -3.409555623707675E+000 2.793218062872482E+000 
