# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 7.788626816175989E+000 1.375423022379000E+002 4.165065319640236E+000 1.376880037988049E+002 7.952273790302670E+000 1.228201988504688E+002 3.171204787699311E+000 8.035764155893753E+001 
1.720445000000000E+009 6.811859482265512E+000 1.244896222653736E+002 2.998064183796884E+000 1.340118543212193E+002 6.858947964007576E+000 1.085877308243292E+002 2.757566109641405E+000 6.942332413279712E+001 
1.720890000000000E+009 7.443530875741366E+000 1.311280475708823E+002 3.671468830480986E+000 1.347970379656100E+002 7.066324758557320E+000 1.121390244343982E+002 2.790657279656248E+000 7.188947715006769E+001 
1.721335000000000E+009 6.055738010220193E+000 1.255767281818932E+002 2.776967750192267E+000 1.352001489970235E+002 6.123610014949715E+000 1.140337047267726E+002 2.162715235842088E+000 7.092905907097280E+001 
1.721780000000000E+009 7.056932360569322E+000 1.226555685194879E+002 3.214120558725480E+000 1.276856841430287E+002 6.687869531512936E+000 1.090752114630747E+002 2.836265984256409E+000 6.670730305590257E+001 
1.722225000000000E+009 7.318571285258937E+000 1.247956240619230E+002 3.348909375722326E+000 1.315717415809034E+002 7.254242675174519E+000 1.090888178951964E+002 2.976257286028689E+000 6.928085564240493E+001 
1.722670000000000E+009 5.740950954435066E+000 1.214630043549938E+002 2.542812709851138E+000 1.326804200023600E+002 6.130415569615387E+000 1.079721507263163E+002 2.346447178489298E+000 6.654559392261986E+001 
1.723115000000000E+009 6.535585527578115E+000 1.221737795039480E+002 3.022595059159244E+000 1.307243082459602E+002 6.542599808476853E+000 1.058564544132149E+002 2.664456153870589E+000 6.565439894096343E+001 
1.723560000000000E+009 7.605280435855640E+000 1.267839328698089E+002 3.692920674462930E+000 1.301056506447364E+002 8.070285268918427E+000 1.101226892060001E+002 3.533888234695469E+000 6.876842654831584E+001 
1.724005000000000E+009 6.444902310110713E+000 1.168040622879422E+002 2.727446844526757E+000 1.268987564368518E+002 6.268252538381477E+000 9.937456915784505E+001 2.753477072483459E+000 6.046837125018885E+001 
1.724450000000000E+009 7.407123085917531E+000 1.178139318005524E+002 3.170122460489812E+000 1.238587556204993E+002 7.571035500832275E+000 1.010959301168414E+002 3.297255881846044E+000 6.070818729317335E+001 
1.724895000000000E+009 7.359340492929396E+000 1.192718164093195E+002 3.299468654120147E+000 1.242724858391577E+002 7.354772757573967E+000 9.993270196172905E+001 3.277962333188741E+000 5.985358798615552E+001 
1.725340000000000E+009 6.081746975651139E+000 1.100935389623557E+002 2.069495056001949E+000 1.221093382216685E+002 6.588920122723597E+000 9.444895990725001E+001 2.800007370991634E+000 5.333410296100863E+001 
1.725785000000000E+009 6.538866938074117E+000 1.144914544956640E+002 2.726762820742955E+000 1.242070634954695E+002 6.870436111245240E+000 9.680666481136183E+001 3.065017543815300E+000 5.758659180492799E+001 
1.726230000000000E+009 6.344570818454085E+000 1.085776199650757E+002 1.921950808216738E+000 1.203629871608212E+002 6.801283495766386E+000 9.399475704564682E+001 2.851689440390647E+000 5.303024508079380E+001 
1.726675000000000E+009 6.986476408860493E+000 1.183130577448029E+002 3.076154603035278E+000 1.244690923696947E+002 7.561171121472840E+000 9.961858523681394E+001 3.371879600115930E+000 5.956542654715074E+001 
1.727120000000000E+009 8.115155060277045E+000 1.196273293069286E+002 3.490049298366716E+000 1.201728120501429E+002 8.769350007202482E+000 9.880672567369683E+001 4.045870975360007E+000 5.564499042307590E+001 
1.727565000000000E+009 7.194625826635311E+000 1.138783397174740E+002 2.808936139574971E+000 1.168422494955558E+002 8.009630292186014E+000 9.317441965625999E+001 3.910177370798421E+000 5.051659993814280E+001 
1.728010000000000E+009 7.055686342279841E+000 1.132252565494052E+002 2.923631144689785E+000 1.187202793510113E+002 7.404248265605808E+000 9.140807968382347E+001 3.582760075807885E+000 5.107123803286228E+001 
1.728455000000000E+009 6.587106326318932E+000 1.045706455131227E+002 2.037906308695167E+000 1.137668869515738E+002 6.757233042824259E+000 8.623962807546342E+001 2.869739967772367E+000 4.645821810201612E+001 
1.728900000000000E+009 7.428130117391255E+000 1.091545782994751E+002 2.583858517747763E+000 1.164134581174397E+002 8.247759488132068E+000 8.675175791318331E+001 3.767777710699351E+000 4.812925937281929E+001 
1.729345000000000E+009 7.993026461601878E+000 1.001427349246350E+002 2.088315896951245E+000 1.043785830159270E+002 8.601381791851690E+000 7.315902687278486E+001 4.026804918948371E+000 3.421899965093868E+001 
