# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 -1.286623656408948E+000 4.283627230039809E+001 -1.114515079506210E+001 1.747722513292330E+002 -5.482809435382310E+000 1.161730769040467E+002 -9.502800067749170E+000 -3.572475597407520E+001 
1.720445000000000E+009 -1.713157524449379E+000 4.308047352878635E+001 -1.128431648309731E+001 1.749772429802640E+002 -5.680520030404305E+000 1.162523941516652E+002 -9.330426206774124E+000 -3.575574429406418E+001 
1.720890000000000E+009 -1.478602603316202E+000 4.666794321499454E+001 -1.117603725219845E+001 1.752600682504923E+002 -5.709299957315839E+000 1.178592914063007E+002 -9.134451003122585E+000 -3.447307813449274E+001 
1.721335000000000E+009 -1.709387514319083E+000 4.219609375678497E+001 -1.081801929894172E+001 1.759545869220889E+002 -5.795354194434255E+000 1.159215759728657E+002 -8.934100271140590E+000 -3.411110209321277E+001 
1.721780000000000E+009 -1.444478034592681E+000 4.352517650920004E+001 -1.068873412687039E+001 1.747053686730942E+002 -5.637802630579083E+000 1.157459114670241E+002 -8.992396473842684E+000 -3.567032408026826E+001 
1.722225000000000E+009 -1.398380431649534E+000 4.088062669002758E+001 -1.057096277598961E+001 1.756010118352254E+002 -5.503457111871848E+000 1.170458551046950E+002 -9.581103338890959E+000 -3.804676795871053E+001 
1.722670000000000E+009 -1.613809954649793E+000 4.232881758515211E+001 -1.066362665529158E+001 1.776022752489537E+002 -5.655733900026791E+000 1.191204535344395E+002 -9.199832330128476E+000 -3.666636992342311E+001 
1.723115000000000E+009 -1.341035306490850E+000 4.120591441266610E+001 -1.070973160464178E+001 1.742528989479955E+002 -5.615874799190434E+000 1.168759238001368E+002 -9.441154956387935E+000 -3.724212092730863E+001 
1.723560000000000E+009 -1.571313133286748E+000 4.215372758855138E+001 -1.045809474028080E+001 1.784284441683467E+002 -5.617767300883291E+000 1.125778600100977E+002 -9.334591774047901E+000 -3.842635213639089E+001 
1.724005000000000E+009 -1.379021133138973E+000 3.992187201227312E+001 -1.056975792060207E+001 1.756877544484244E+002 -5.552362681963956E+000 1.139413202371019E+002 -8.970019071865066E+000 -3.699648050860294E+001 
1.724450000000000E+009 -1.335955062836166E+000 3.984373407623924E+001 -1.015365238927333E+001 1.779555538661283E+002 -5.499362318489569E+000 1.160979824680566E+002 -9.053976708804354E+000 -4.035640474406938E+001 
1.724895000000000E+009 -1.483076884985360E+000 3.610898429469471E+001 -1.030133296008186E+001 1.762107770543253E+002 -5.641291581647184E+000 1.101399898713381E+002 -9.088571811293091E+000 -3.833698008236476E+001 
1.725340000000000E+009 -1.340992859619630E+000 4.074666915193495E+001 -9.840833215927797E+000 1.778202402055183E+002 -5.561856575590702E+000 1.146013148158792E+002 -9.331990939602928E+000 -4.100495565578101E+001 
1.725785000000000E+009 -1.319379807632186E+000 3.914254784203040E+001 -1.016290819025056E+001 1.757021976140980E+002 -5.478774590389401E+000 1.139889321742590E+002 -9.644442021188597E+000 -4.189567800454265E+001 
1.726230000000000E+009 -1.682106972934216E+000 3.728531803656022E+001 -9.658181766420899E+000 1.755264711099912E+002 -5.804916950296033E+000 1.119395314688824E+002 -9.045156809756460E+000 -4.082604903052159E+001 
1.726675000000000E+009 -1.437730632209146E+000 3.664807374446548E+001 -9.882911629488955E+000 1.766880801751292E+002 -5.605640725675490E+000 1.112215418068164E+002 -9.522542435930914E+000 -4.318892769911462E+001 
1.727120000000000E+009 -1.454301178921220E+000 4.097993524766606E+001 -9.572201859428462E+000 -1.799707495536415E+002 -5.614435910651388E+000 1.128892975115086E+002 -9.462511908605800E+000 -4.586331697976450E+001 
1.727565000000000E+009 -1.442706345609841E+000 3.550274596103503E+001 -9.598956595886419E+000 1.760743254158195E+002 -5.636417258843709E+000 1.108851279340901E+002 -9.530550634338084E+000 -4.343846481999605E+001 
1.728010000000000E+009 -1.508298626453864E+000 3.777048819169600E+001 -9.214947068576727E+000 1.777728643443890E+002 -5.637868170629679E+000 1.126612156947393E+002 -8.787507955059086E+000 -4.344171326761372E+001 
1.728455000000000E+009 -1.367582995963576E+000 3.524260665845374E+001 -9.377865597068887E+000 1.797144100287157E+002 -5.526893512256922E+000 1.081821141453637E+002 -9.386946041269692E+000 -4.472205839230944E+001 
1.728900000000000E+009 -1.545499468393757E+000 3.485924295606790E+001 -9.310264090178341E+000 1.776364977319693E+002 -5.687050778210684E+000 1.100024778331037E+002 -9.445512292595057E+000 -4.574521342467152E+001 
1.729345000000000E+009 -1.365922090974300E+000 3.660406868567902E+001 -8.911534708202453E+000 1.774797197524435E+002 -5.511087327615517E+000 1.092908172647213E+002 -9.104652582549990E+000 -4.504888070946902E+001 
1.729790000000000E+009 -1.377966314944783E+000 3.515820469610264E+001 -9.102437879106873E+000 1.765449658758628E+002 -5.593302907290092E+000 1.090331963589404E+002 -9.361752418585390E+000 -4.642190413032103E+001 
