# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 -3.969954329657619E+000 7.896823350127032E+001 -6.033005463705482E+000 1.355101258834125E+002 -5.474106632973179E+000 1.288179933148176E+002 -1.487518071934461E+000 3.100380851540536E+001 
1.720445000000000E+009 -3.816329040727502E+000 7.947584635992486E+001 -6.078953046199951E+000 1.386858015405044E+002 -5.498906686209779E+000 1.259678833792330E+002 -1.500324721027796E+000 3.246053409387304E+001 
1.720890000000000E+009 -3.794310504207053E+000 8.084380758894118E+001 -5.920955432916798E+000 1.386186234621866E+002 -5.516030939419327E+000 1.286318042835599E+002 -1.189574437780985E+000 3.275382552094791E+001 
1.721335000000000E+009 -3.521009223353849E+000 8.286913105653795E+001 -6.058107533548929E+000 1.358136638749342E+002 -5.386420762982641E+000 1.259137159138277E+002 -1.482830614890627E+000 3.233290687794727E+001 
1.721780000000000E+009 -3.391650319947706E+000 8.447749903767283E+001 -6.198836078038609E+000 1.376827205279306E+002 -5.401911533434967E+000 1.304382884671672E+002 -1.681165260632782E+000 3.126609512462720E+001 
1.722225000000000E+009 -3.750121767389516E+000 8.168435874331456E+001 -6.274006527105882E+000 1.367761952168176E+002 -5.552659789677046E+000 1.290801651852096E+002 -1.576738062454621E+000 3.298310174860825E+001 
1.722670000000000E+009 -3.589829725947701E+000 7.375045449848625E+001 -6.098241085331255E+000 1.360005577802867E+002 -5.449956962601918E+000 1.254874900945298E+002 -1.422358770809951E+000 3.259708674440250E+001 
1.723115000000000E+009 -3.777737104068983E+000 7.654873392835789E+001 -6.174312113787110E+000 1.379297830633470E+002 -5.463011448035291E+000 1.255459443010571E+002 -1.352500453634242E+000 3.335007947664952E+001 
1.723560000000000E+009 -3.951765711733986E+000 7.585655416981390E+001 -6.078798307978764E+000 1.370441005577052E+002 -5.531326443044574E+000 1.247217164190191E+002 -1.483251192263465E+000 3.302923651845585E+001 
1.724005000000000E+009 -3.514942918985560E+000 7.828182249666777E+001 -6.174613204442637E+000 1.354206184668693E+002 -5.712874851999694E+000 1.263486566263443E+002 -1.355365036563096E+000 3.149141741979386E+001 
1.724450000000000E+009 -3.748514665677413E+000 7.612496645044676E+001 -6.229362653774659E+000 1.350015187083394E+002 -5.479736248936501E+000 1.261739249509308E+002 -1.345426445588722E+000 3.352270700995047E+001 
1.724895000000000E+009 -3.714760934373163E+000 7.416786996467559E+001 -6.283353140780988E+000 1.351110497123598E+002 -5.512336143473464E+000 1.235688972187928E+002 -1.487838197802610E+000 3.273229259673987E+001 
1.725340000000000E+009 -3.303555194078441E+000 7.809470510393489E+001 -6.161146530010736E+000 1.342902593128078E+002 -5.572064581612147E+000 1.254372611216073E+002 -1.148236993960849E+000 3.384176787551693E+001 
1.725785000000000E+009 -3.565758728395051E+000 7.630615231827984E+001 -6.332439524504758E+000 1.349566303256351E+002 -5.680449616858496E+000 1.249221712957572E+002 -1.196675135242445E+000 3.221711145630028E+001 
1.726230000000000E+009 -3.723942286049568E+000 7.482825936166907E+001 -6.266068114974072E+000 1.328721923135522E+002 -5.517008430881275E+000 1.263297316050128E+002 -9.784977646927523E-001 3.299758594156777E+001 
1.726675000000000E+009 -3.588769427388999E+000 7.824313696840427E+001 -6.318945766700181E+000 1.345865624466574E+002 -5.621033424395102E+000 1.263623589115705E+002 -1.078259061919468E+000 3.077790832769211E+001 
1.727120000000000E+009 -3.739310879818276E+000 7.202463126019171E+001 -6.288109040737657E+000 1.356141827719548E+002 -5.750415547589078E+000 1.240270344790011E+002 -1.122004971665251E+000 3.407408991042968E+001 
1.727565000000000E+009 -3.485033504470612E+000 7.262636249028726E+001 -6.430281043132635E+000 1.335052551063533E+002 -5.665361125006919E+000 1.239480260938782E+002 -1.345135716202464E+000 3.263298156962856E+001 
1.728010000000000E+009 -3.425902683187394E+000 7.208247861778571E+001 -6.139005801616023E+000 1.339259457339731E+002 -5.582449138542970E+000 1.241942844596326E+002 -1.051051369736242E+000 3.462976078342700E+001 
1.728455000000000E+009 -3.627091723560317E+000 7.155083029142233E+001 -6.175932271545990E+000 1.322632479862053E+002 -5.796154730992541E+000 1.231723774597506E+002 -9.008215285358397E-001 3.432966292918174E+001 
1.728900000000000E+009 -3.512299026338510E+000 6.913067407279281E+001 -6.360360921688411E+000 1.320364637727357E+002 -5.708222851122632E+000 1.217030192821345E+002 -1.119301593476667E+000 3.375779724446076E+001 
1.729345000000000E+009 -3.500183349461599E+000 7.130561648099896E+001 -6.432408680620023E+000 1.319648314219893E+002 -5.857138589902450E+000 1.217437824270415E+002 -1.107043220538404E+000 3.391615566737060E+001 
1.729790000000000E+009 -3.510076965401244E+000 6.753242185184135E+001 -6.280427298209657E+000 1.295193443421602E+002 -5.690746930783530E+000 1.246384060592532E+002 -9.006802099287256E-001 3.110937462489325E+001 
1.730235000000000E+009 -3.009537335046073E+000 6.978279939344728E+001 -6.393758887840255E+000 1.322695467532545E+002 -5.700016453896144E+000 1.240893822040349E+002 -1.054985514926694E+000 3.253905236253059E+001 
1.730680000000000E+009 -3.530406234844561E+000 6.910257308408387E+001 -6.379475490579147E+000 1.307473221653843E+002 -5.833611977984742E+000 1.222837499647759E+002 -9.611975715454924E-001 3.532869798020451E+001 
1.731125000000000E+009 -3.132844129373948E+000 7.099511213480265E+001 -6.320496437375570E+000 1.311062638800790E+002 -5.726247129962952E+000 1.230938379176304E+002 -8.892588182798964E-001 3.441322564768503E+001 
1.731570000000000E+009 -3.332947080351485E+000 6.873025030786573E+001 -6.484697717428151E+000 1.316743667986994E+002 -5.824182461607131E+000 1.200428587979845E+002 -8.870082135002277E-001 3.568532417500271E+001 
1.732015000000000E+009 -3.245516827884538E+000 6.882395296204930E+001 -6.527634551382889E+000 1.323703734232286E+002 -5.851784432568005E+000 1.199358564505886E+002 -8.639154404650775E-001 3.465466590267135E+001 
1.732460000000000E+009 -3.355146289746287E+000 6.745728428663846E+001 -6.482099393668409E+000 1.324568892429829E+002 -5.831459699788096E+000 1.211228975249609E+002 -7.972622474602387E-001 3.503589223879590E+001 
1.732905000000000E+009 -3.432096885583615E+000 6.668547260429081E+001 -6.606790917858167E+000 1.309612982490723E+002 -5.819978838207291E+000 1.229176892476084E+002 -1.045216918772965E+000 3.456409376659992E+001 
1.733350000000000E+009 -3.369169483059915E+000 6.593327166365491E+001 -6.640356412296276E+000 1.337083133050248E+002 -5.771026843925172E+000 1.214711994403634E+002 -8.794930375834510E-001 3.638985222027147E+001 
1.733795000000000E+009 -3.377690069479921E+000 6.627759378091801E+001 -6.542402186038990E+000 1.322666160283542E+002 -5.726059806730832E+000 1.205893649735472E+002 -8.480388337065123E-001 3.656155821245843E+001 
1.734240000000000E+009 -3.568883418280350E+000 6.486106016741321E+001 -6.413811198475385E+000 1.309592470815933E+002 -5.747655212918198E+000 1.211806192875540E+002 -7.919389219904239E-001 3.530900704286275E+001 
1.734685000000000E+009 -3.255857939513721E+000 6.741030977648624E+001 -6.401924664807541E+000 1.300066566859178E+002 -5.816579283793710E+000 1.208129532583262E+002 -8.808988986585539E-001 3.357871855162244E+001 
1.735130000000000E+009 -3.366911909765089E+000 6.481113533893000E+001 -6.543061047147878E+000 1.318919951049590E+002 -5.837600236570895E+000 1.198441691151558E+002 -7.415180595223130E-001 3.611185747257151E+001 
1.735575000000000E+009 -3.144325095117853E+000 6.505629643513572E+001 -6.478417340519848E+000 1.314833107309631E+002 -5.750539638872127E+000 1.208666455666763E+002 -5.893252229017632E-001 3.513677139398888E+001 
1.736020000000000E+009 -3.480681001693103E+000 6.340189738270914E+001 -6.337249878666003E+000 1.293031475722278E+002 -6.040677811604104E+000 1.170676690471995E+002 -6.719227753082463E-001 3.459790042142640E+001 
1.736465000000000E+009 -3.299029413432289E+000 6.293333671504404E+001 -6.523824148415939E+000 1.318485173046202E+002 -5.896682639997751E+000 1.188941317141684E+002 -7.970859094198726E-001 3.569423162747633E+001 
1.736910000000000E+009 -3.299778858420032E+000 6.152149058580750E+001 -6.697557693841421E+000 1.288265313474234E+002 -5.773236398203185E+000 1.172671353741341E+002 -1.135011961067577E+000 3.568553888232840E+001 
1.737355000000000E+009 -3.246942874232492E+000 6.182764407523335E+001 -6.482045845418141E+000 1.289601377976391E+002 -5.677940807650001E+000 1.183324005595038E+002 -6.919125854871661E-001 3.486260035127712E+001 
1.737800000000000E+009 -3.246980554695843E+000 6.160126847536014E+001 -6.523721545348856E+000 1.295627949454683E+002 -5.924916038895817E+000 1.174674321969726E+002 -2.977229591249460E-001 3.655026554943958E+001 
1.738245000000000E+009 -3.322487742590952E+000 6.160058782178546E+001 -6.612493537324646E+000 1.296612814909826E+002 -5.804849895879636E+000 1.177074898820816E+002 -9.147343817710479E-001 3.715672717870799E+001 
1.738690000000000E+009 -3.155864735727072E+000 5.997595145842978E+001 -6.674809306027765E+000 1.306175488804793E+002 -5.769030403794340E+000 1.191406647525367E+002 -8.301005284127923E-001 3.246404003057643E+001 
1.739135000000000E+009 -3.209917612372942E+000 6.148502629796910E+001 -6.591134610300721E+000 1.299624009694038E+002 -5.899829737268600E+000 1.172573263960507E+002 -8.664321555604371E-001 3.436884567505314E+001 
1.739580000000000E+009 -3.270609482877652E+000 6.265817102547452E+001 -6.640840160041719E+000 1.304318903113571E+002 -5.780426773469678E+000 1.165609669271995E+002 -7.307069805222185E-001 3.773114222281941E+001 
1.740025000000000E+009 -3.019861167237479E+000 6.116963076983696E+001 -6.574085387714873E+000 1.282807994716004E+002 -5.799843505056678E+000 1.177105622932792E+002 -3.733044316064778E-001 3.604225088666669E+001 
1.740470000000000E+009 -3.216275215494336E+000 6.059507941389403E+001 -6.547125400335139E+000 1.264566526015630E+002 -6.024715999872178E+000 1.184579909272741E+002 -8.612068762069688E-001 3.477609952236490E+001 
1.740915000000000E+009 -3.126383319637537E+000 6.123069844044652E+001 -6.734511354924214E+000 1.289680987692888E+002 -5.857180780202702E+000 1.183198730018224E+002 -6.332699724803380E-001 3.644521109845574E+001 
1.741360000000000E+009 -3.283615108332326E+000 5.834250003184803E+001 -6.540955063002039E+000 1.267229060046722E+002 -5.715359085020134E+000 1.171200282109079E+002 -7.334507089077312E-001 3.755416537571642E+001 
1.741805000000000E+009 -3.377875752497358E+000 5.572211671828785E+001 -6.570980140770288E+000 1.245829626979293E+002 -5.947934717015172E+000 1.174447293473081E+002 -7.135052508792469E-001 3.459801878871545E+001 
1.742250000000000E+009 -3.268688033330291E+000 5.817446371888742E+001 -6.647297813951501E+000 1.269589963580444E+002 -5.780331197721131E+000 1.156284434539675E+002 -6.089114110988619E-001 3.792984137940168E+001 
1.742695000000000E+009 -3.200190370124759E+000 5.353893815841686E+001 -6.477702073499161E+000 1.278435846019773E+002 -5.953448308812765E+000 1.163521624696713E+002 -4.395867257625695E-001 3.649702075456887E+001 
1.743140000000000E+009 -3.205599837001034E+000 5.619014358234735E+001 -6.519233343403832E+000 1.277717114669625E+002 -5.830425891477811E+000 1.153083906279111E+002 -6.670246858373420E-001 3.774173031228433E+001 
1.743585000000000E+009 -3.256636110163437E+000 5.249730624530560E+001 -6.538740218160735E+000 1.250793327069123E+002 -6.036545568224234E+000 1.149819649824094E+002 -7.015258185505578E-001 3.540314887392078E+001 
1.744030000000000E+009 -3.223856387465397E+000 5.497953474175372E+001 -6.561989389496239E+000 1.286329792996454E+002 -5.866583768432570E+000 1.138535148547880E+002 -6.070338947656161E-001 3.737609730079774E+001 
1.744475000000000E+009 -3.203716400578345E+000 5.357211332017013E+001 -6.584471874707925E+000 1.267494776951703E+002 -5.862112585415460E+000 1.177719665244623E+002 -5.599669018504826E-001 3.750378716193784E+001 
1.744920000000000E+009 -3.093794575263662E+000 5.447187192957183E+001 -6.653595408838858E+000 1.273278126437674E+002 -5.905733947491287E+000 1.159312605489711E+002 -7.147587888255141E-001 3.667449163263708E+001 
