# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 -2.821708506370152E+000 7.443549631194276E+001 -1.470974340417407E+000 1.429288943716163E+002 -1.514090579338616E+000 1.373641608814760E+002 -3.216039152268524E+000 6.971422421185190E+001 
1.720445000000000E+009 -3.555668082950459E+000 6.548880363582846E+001 -1.631869797685882E+000 1.449776256049705E+002 -1.515689749872787E+000 1.394420170211103E+002 -3.601388668970271E+000 6.713526189733311E+001 
1.720890000000000E+009 -3.315808148495990E+000 7.014325863405895E+001 -1.548947765871458E+000 1.433829886747853E+002 -1.533588000857181E+000 1.407745526507001E+002 -3.459260969052198E+000 6.812942433477721E+001 
1.721335000000000E+009 -3.003940786422494E+000 7.083968797125942E+001 -1.455067909484185E+000 1.428661589964701E+002 -1.587762632990366E+000 1.401813513284190E+002 -3.430290214143077E+000 6.631545604703582E+001 
1.721780000000000E+009 -3.190967259758786E+000 6.968622882615236E+001 -1.329704585919640E+000 1.409233159847495E+002 -1.583278957519743E+000 1.406656768390220E+002 -3.470538720259818E+000 6.643354222953124E+001 
1.722225000000000E+009 -3.187827238218927E+000 6.758913086691503E+001 -1.421998136503163E+000 1.405437103074680E+002 -1.749146710937245E+000 1.380137176518596E+002 -3.449177855506538E+000 6.547350073275760E+001 
1.722670000000000E+009 -3.202266217368028E+000 7.051822303903988E+001 -1.461786661900579E+000 1.417466043796697E+002 -1.664670568425043E+000 1.403543909008000E+002 -3.429671020964787E+000 6.238764808385301E+001 
1.723115000000000E+009 -2.890929038713324E+000 6.950836667498366E+001 -1.438711904962944E+000 1.399117155238189E+002 -1.567330460517577E+000 1.373666200170263E+002 -3.268172359943923E+000 6.523712967204364E+001 
1.723560000000000E+009 -2.964410570780541E+000 6.972309277372038E+001 -1.391787216962358E+000 1.425256340363264E+002 -1.656791532084821E+000 1.384139894830293E+002 -3.371339323767720E+000 6.594406485955383E+001 
1.724005000000000E+009 -3.167223269839509E+000 6.843166539122807E+001 -1.438345755501397E+000 1.413513696898281E+002 -1.588117343674748E+000 1.394279424997528E+002 -3.335064746967007E+000 6.572133621131724E+001 
1.724450000000000E+009 -3.121044729744794E+000 6.835900014145717E+001 -1.490137615220464E+000 1.391727314824754E+002 -1.551293181770824E+000 1.387793031030144E+002 -3.598206331271745E+000 6.343324215036596E+001 
1.724895000000000E+009 -3.395267429156050E+000 6.691772677583624E+001 -1.446715839859123E+000 1.386590403030946E+002 -1.765314037275440E+000 1.361649311020595E+002 -3.439515958951616E+000 6.326874096132370E+001 
1.725340000000000E+009 -3.204357757594498E+000 6.496349345646804E+001 -1.384301431760798E+000 1.380749025866506E+002 -1.725987853099035E+000 1.336005162336321E+002 -3.471997562797573E+000 6.286560658970625E+001 
1.725785000000000E+009 -2.918812904135912E+000 6.737180945703059E+001 -1.507787177103110E+000 1.384698346862276E+002 -1.426917835360406E+000 1.373670052259492E+002 -3.438481504432525E+000 6.232009180099927E+001 
1.726230000000000E+009 -2.886369531426594E+000 6.726278636554007E+001 -1.409036493824179E+000 1.381700662521091E+002 -1.657299090073290E+000 1.355246108485891E+002 -3.405944525056222E+000 6.302016534355155E+001 
1.726675000000000E+009 -3.328031902998971E+000 6.542466540022305E+001 -1.301023298308752E+000 1.372672829082121E+002 -1.717882902020782E+000 1.354127600697200E+002 -3.131978503878054E+000 6.123912148541292E+001 
1.727120000000000E+009 -3.194304886321072E+000 6.378985326818641E+001 -1.449025431802079E+000 1.391062638602466E+002 -1.638071208317649E+000 1.366284743142067E+002 -3.329418778095898E+000 6.483748298560499E+001 
1.727565000000000E+009 -2.959986491785240E+000 6.353327541821401E+001 -1.458139973759020E+000 1.366794439798075E+002 -1.647729446834427E+000 1.347502408641092E+002 -3.626424434232861E+000 6.011884759540833E+001 
1.728010000000000E+009 -3.541390316517780E+000 5.909037856423833E+001 -1.403080722838516E+000 1.368740081433688E+002 -1.697149528853277E+000 1.358527502399949E+002 -3.579693595620523E+000 6.178757240023157E+001 
1.728455000000000E+009 -2.908974993579272E+000 6.102640154319462E+001 -1.392734209962390E+000 1.356255831191948E+002 -1.718945396654818E+000 1.318986022860694E+002 -3.265098353351079E+000 5.931607657841275E+001 
1.728900000000000E+009 -3.144820820232180E+000 6.347827230993812E+001 -1.494178315256773E+000 1.357809517135409E+002 -1.549477668194679E+000 1.355864385761025E+002 -3.282885245762848E+000 6.027690799624733E+001 
1.729345000000000E+009 -3.602700836508574E+000 6.054522030837574E+001 -1.537100326343797E+000 1.365324025904022E+002 -1.739072818159204E+000 1.345060964512346E+002 -3.327230333543548E+000 5.868612856106546E+001 
1.729790000000000E+009 -3.285712838515830E+000 6.293646088011367E+001 -1.420230976816287E+000 1.358312407071579E+002 -1.600863164041783E+000 1.340405214253573E+002 -3.333675133247546E+000 5.843516089048386E+001 
1.730235000000000E+009 -3.205415517621996E+000 6.223869521854690E+001 -1.382651779691707E+000 1.359151558247606E+002 -1.664180211741602E+000 1.350100727432002E+002 -3.549908701898795E+000 5.837385318314450E+001 
1.730680000000000E+009 -2.621449519614200E+000 6.168984847226237E+001 -1.501138321775088E+000 1.337085931157969E+002 -1.584555489771536E+000 1.324580324678167E+002 -3.309054497887947E+000 5.879837887485795E+001 
1.731125000000000E+009 -3.116297893804853E+000 5.801427551364908E+001 -1.459175856376061E+000 1.341751138368769E+002 -1.666301546358834E+000 1.335026695492140E+002 -3.297281085920571E+000 5.714957910410524E+001 
1.731570000000000E+009 -3.226753737708547E+000 5.800243804747447E+001 -1.389956487725435E+000 1.346802910749675E+002 -1.728737085732793E+000 1.352556581653844E+002 -3.382676061394242E+000 5.886894088098730E+001 
1.732015000000000E+009 -3.197975127852878E+000 6.063930355248738E+001 -1.441421741728089E+000 1.343700767846872E+002 -1.668898086505470E+000 1.332100353927601E+002 -3.312076089954527E+000 5.857316095505688E+001 
1.732460000000000E+009 -2.962669364226646E+000 6.131400017363254E+001 -1.357524954212464E+000 1.328445640657698E+002 -1.578245639298445E+000 1.332005080416773E+002 -3.372598144534123E+000 5.869362012269284E+001 
1.732905000000000E+009 -3.026868736089087E+000 5.782552505526301E+001 -1.410959540532118E+000 1.332385896042190E+002 -1.773374210809162E+000 1.327964840452119E+002 -3.301111761824854E+000 5.602084817601851E+001 
1.733350000000000E+009 -3.085346597253709E+000 5.892306348151899E+001 -1.479607180816662E+000 1.341943905763533E+002 -1.568300968342125E+000 1.326653509905139E+002 -3.509242276253034E+000 5.793243223309630E+001 
1.733795000000000E+009 -3.189093602186462E+000 5.789487355091864E+001 -1.312254928068211E+000 1.323113510677469E+002 -1.694950400165491E+000 1.318100186435511E+002 -3.330593001861527E+000 5.629137825934068E+001 
